day,index
2006-01-02,101.41549999999999
2006-01-03,100.75579999999999
2006-01-04,100.22880000000001
2006-01-05,100.2992
2006-01-06,100.0241
2006-01-09,100.1794
2006-01-10,100.14360000000001
2006-01-11,99.870999999999995
2006-01-12,100.0643
2006-01-13,99.967500000000001
2006-01-16,99.971500000000006
2006-01-17,100.24469999999999
2006-01-18,100.4085
2006-01-19,100.1862
2006-01-20,99.901700000000005
2006-01-23,99.378299999999996
2006-01-24,99.343400000000003
2006-01-25,99.347999999999999
2006-01-26,99.479799999999997
2006-01-27,99.643299999999996
2006-01-30,99.714399999999998
2006-01-31,99.431100000000001
2006-02-01,99.613200000000006
2006-02-02,99.791600000000003
2006-02-03,100.11799999999999
2006-02-06,100.13720000000001
2006-02-07,100.1759
2006-02-08,100.4879
2006-02-09,100.21169999999999
2006-02-10,100.322
2006-02-13,100.3955
2006-02-14,100.39870000000001
2006-02-15,100.44889999999999
2006-02-16,100.5183
2006-02-17,100.3404
2006-02-20,100.3447
2006-02-21,100.2346
2006-02-22,100.3879
2006-02-23,100.1956
2006-02-24,100.2594
2006-02-27,100.0724
2006-02-28,99.769499999999994
2006-03-01,99.835499999999996
2006-03-02,99.596900000000005
2006-03-03,99.702399999999997
2006-03-06,99.983400000000003
2006-03-07,100.56399999999999
2006-03-08,100.8565
2006-03-09,100.7718
2006-03-10,100.95659999999999
2006-03-13,100.8563
2006-03-14,100.312
2006-03-15,100.21210000000001
2006-03-16,99.904899999999998
2006-03-17,99.861400000000003
2006-03-20,100.0491
2006-03-21,100.4716
2006-03-22,100.496
2006-03-23,100.82559999999999
2006-03-24,100.7773
2006-03-27,100.8359
2006-03-28,100.79949999999999
2006-03-29,101.0474
2006-03-30,100.5698
2006-03-31,100.56
2006-04-03,100.6204
2006-04-04,100.1319
2006-04-05,100.0792
2006-04-06,100.15779999999999
2006-04-07,100.4187
2006-04-10,100.4091
2006-04-11,100.2903
2006-04-12,100.35890000000001
2006-04-13,100.4759
2006-04-14,100.4697
2006-04-17,99.871899999999997
2006-04-18,99.674700000000001
2006-04-19,99.346699999999998
2006-04-20,99.497399999999999
2006-04-21,99.4345
2006-04-24,99.117000000000004
2006-04-25,98.968699999999998
2006-04-26,98.890699999999995
2006-04-27,98.514899999999997
2006-04-28,98.141199999999998
2006-05-01,97.908500000000004
2006-05-02,97.6571
2006-05-03,97.557199999999995
2006-05-04,97.487799999999993
2006-05-05,97.258499999999998
2006-05-08,97.194500000000005
2006-05-09,96.957800000000006
2006-05-10,96.639099999999999
2006-05-11,96.538300000000007
2006-05-12,96.878799999999998
2006-05-15,97.358800000000002
2006-05-16,97.195899999999995
2006-05-17,97.472499999999997
2006-05-18,97.703299999999999
2006-05-19,97.933000000000007
2006-05-22,97.937700000000007
2006-05-23,97.704499999999996
2006-05-24,98.393600000000006
2006-05-25,97.842299999999994
2006-05-26,97.899500000000003
2006-05-29,97.893600000000006
2006-05-30,97.587999999999994
2006-05-31,97.770499999999998
2006-06-01,97.772599999999997
2006-06-02,97.554400000000001
2006-06-05,97.368099999999998
2006-06-06,98.144900000000007
2006-06-07,98.164100000000005
2006-06-08,98.931299999999993
2006-06-09,98.5471
2006-06-12,98.549400000000006
2006-06-13,98.920100000000005
2006-06-14,98.833799999999997
2006-06-15,98.884600000000006
2006-06-16,98.912700000000001
2006-06-19,99.144999999999996
2006-06-20,99.011700000000005
2006-06-21,98.554400000000001
2006-06-22,99.085599999999999
2006-06-23,99.421599999999998
2006-06-26,99.363399999999999
2006-06-27,99.218999999999994
2006-06-28,99.391999999999996
2006-06-29,99.215800000000002
2006-06-30,98.2483
2006-07-03,98.037099999999995
2006-07-04,98.022099999999995
2006-07-05,98.308000000000007
2006-07-06,98.138000000000005
2006-07-07,97.750799999999998
2006-07-10,97.981300000000005
2006-07-11,98.213200000000001
2006-07-12,98.520200000000003
2006-07-13,98.558300000000003
2006-07-14,98.681399999999996
