day,views
2016-04-07,8289
2016-04-08,8760
2016-04-09,6351
2016-04-10,6910
2016-04-11,9268
2016-04-12,8641
2016-04-13,9055
2016-04-14,8202
2016-04-15,7162
2016-04-16,5785
2016-04-17,6340
2016-04-18,7743
2016-04-19,9076
2016-04-20,8403
2016-04-21,11381
2016-04-22,9665
2016-04-23,7170
2016-04-24,8433
2016-04-25,9045
2016-04-26,9250
2016-04-27,8777
2016-04-28,9540
2016-04-29,7765
2016-04-30,6176
2016-05-01,6593
2016-05-02,88391
2016-05-03,43326
2016-05-04,20101
2016-05-05,25386
2016-05-06,17048
2016-05-07,11166
2016-05-08,11207
2016-05-09,13087
2016-05-10,12193
2016-05-11,10845
2016-05-12,11455
2016-05-13,9489
2016-05-14,12031
2016-05-15,11799
2016-05-16,11516
2016-05-17,8974
2016-05-18,9947
2016-05-19,12168
2016-05-20,8393
2016-05-21,6660
2016-05-22,7085
2016-05-23,8706
2016-05-24,8943
2016-05-25,8226
2016-05-26,8012
2016-05-27,7843
2016-05-28,7516
2016-05-29,7165
2016-05-30,12745
2016-05-31,13783
2016-06-01,10917
2016-06-02,9668
2016-06-03,9507
2016-06-04,7824
2016-06-05,11299
2016-06-06,10305
2016-06-07,9828
2016-06-08,9526
2016-06-09,9328
2016-06-10,8527
2016-06-11,7960
2016-06-12,8817
2016-06-13,12454
2016-06-14,10859
2016-06-15,10005
2016-06-16,10618
2016-06-17,10851
2016-06-18,8859
2016-06-19,9315
2016-06-20,11896
2016-06-21,11977
2016-06-22,9837
2016-06-23,9912
2016-06-24,19135
2016-06-25,12669
2016-06-26,8292
2016-06-27,11629
2016-06-28,10003
2016-06-29,10158
2016-06-30,9599
2016-07-01,8764
2016-07-02,7717
2016-07-03,8615
2016-07-04,9364
2016-07-05,9447
2016-07-06,9129
2016-07-07,9574
2016-07-08,8771
2016-07-09,8843
2016-07-10,10305
2016-07-11,10443
2016-07-12,10146
2016-07-13,10027
2016-07-14,9109
2016-07-15,8596
2016-07-16,7157
2016-07-17,8148
2016-07-18,8920
2016-07-19,8270
2016-07-20,8357
2016-07-21,8658
2016-07-22,9800
2016-07-23,6549
2016-07-24,7274
2016-07-25,9280
2016-07-26,10095
2016-07-27,10107
2016-07-28,9118
2016-07-29,8102
2016-07-30,7619
2016-07-31,68433
2016-08-01,7849
