day,metres
2017-01-01,2.3858333333333333
2017-01-02,2.11625
2017-01-03,2.0533333333333332
2017-01-04,2.6133333333333333
2017-01-05,1.3329166666666665
2017-01-06,0.96958333333333335
2017-01-07,2.2133333333333334
2017-01-08,3.4582608695652177
2017-01-09,2.4854166666666666
2017-01-10,2.4966666666666666
2017-01-11,3.1452173913043482
2017-01-12,2.6820833333333334
2017-01-13,2.085
2017-01-14,1.5125
2017-01-15,1.3729166666666668
2017-01-16,1.9800000000000002
2017-01-17,1.7483333333333333
2017-01-18,2.5124999999999997
2017-01-19,3.7200000000000002
2017-01-20,4.2021739130434783
2017-01-21,6.0091304347826089
2017-01-22,5.2165217391304353
2017-01-23,4.0282608695652176
2017-01-24,4.3478260869565215
2017-01-25,2.4762499999999998
2017-01-26,2.5175000000000001
2017-01-27,3.0645833333333332
2017-01-28,2.0974999999999997
2017-01-29,2.0795833333333333
2017-01-30,1.8633333333333333
2017-01-31,1.4141666666666666
2017-02-01,1.3029166666666667
2017-02-02,2.8224999999999998
2017-02-03,2.8162500000000001
2017-02-04,2.5291666666666668
2017-02-05,1.8179166666666668
2017-02-06,2.4154166666666668
2017-02-07,2.7475000000000001
2017-02-08,2.2779166666666666
2017-02-09,2.2091666666666665
2017-02-10,2.5350000000000001
2017-02-11,2.5958333333333332
2017-02-12,2.0229166666666667
2017-02-13,1.7116666666666667
2017-02-14,1.3325
2017-02-15,1.3904166666666666
2017-02-16,2.8608333333333333
2017-02-17,3.3999999999999999
2017-02-18,3.4387500000000002
2017-02-19,2.6899999999999999
2017-02-20,3.6158333333333332
2017-02-21,3.3643478260869562
2017-02-22,2.8083333333333336
2017-02-23,2.4725000000000001
2017-02-24,1.8541666666666667
2017-02-25,1.4883333333333333
2017-02-26,1.2775000000000001
2017-02-27,1.6934782608695653
2017-02-28,2.01125
2017-03-01,1.55375
2017-03-02,1.4329166666666666
2017-03-03,1.66875
2017-03-04,1.3145833333333334
2017-03-05,2.1495652173913045
2017-03-06,2.8162500000000001
2017-03-07,1.7779166666666668
2017-03-08,1.2224999999999999
2017-03-09,1.4333333333333333
2017-03-10,1.6269565217391304
2017-03-11,1.5899999999999999
2017-03-12,1.3566666666666667
2017-03-13,1.3158333333333332
2017-03-14,1.1266666666666667
2017-03-15,1.3033333333333335
2017-03-16,1.3700000000000001
2017-03-17,1.3891666666666664
2017-03-18,0.90583333333333327
2017-03-19,1.4441666666666666
2017-03-20,1.6074999999999999
2017-03-21,1.9945833333333332
2017-03-22,1.8866666666666667
2017-03-23,2.5158333333333336
2017-03-24,2.1425000000000001
2017-03-25,2.25875
2017-03-26,2.3483333333333332
2017-03-27,2.1004166666666664
2017-03-28,3.1747826086956521
2017-03-29,2.90625
2017-03-30,2.8329166666666663
2017-03-31,3.1091666666666669
2017-04-01,2.5430434782608695
2017-04-02,2.9804166666666667
2017-04-03,3.4483333333333337
2017-04-04,2.1583333333333332
2017-04-05,1.3395833333333333
2017-04-06,2.25875
2017-04-07,3.5462500000000001
2017-04-08,3.3430434782608698
2017-04-09,2.3804166666666666
2017-04-10,1.8570833333333334
2017-04-11,2.5375000000000001
2017-04-12,2.4512499999999999
2017-04-13,1.8641666666666667
2017-04-14,2.5152173913043478
2017-04-15,1.9658333333333333
2017-04-16,1.5483333333333331
2017-04-17,2.0212499999999998
2017-04-18,1.56125
2017-04-19,1.4945833333333332
2017-04-20,2.2725
2017-04-21,2.3208333333333333
2017-04-22,1.2808333333333335
2017-04-23,1.9304166666666667
2017-04-24,2.1154166666666669
2017-04-25,1.9416666666666667
2017-04-26,1.4045833333333333
2017-04-27,2.3312500000000003
2017-04-28,2.4399999999999999
2017-04-29,1.8620833333333333
2017-04-30,1.9804166666666667
2017-05-01,2.0643478260869568
2017-05-02,2.0820833333333333
2017-05-03,1.8600000000000001
2017-05-04,1.4670833333333333
2017-05-05,1.9358333333333333
2017-05-06,3.7741666666666664
2017-05-07,3.4275000000000002
2017-05-08,2.5275000000000003
2017-05-09,2.2466666666666666
2017-05-10,2.1026086956521737
2017-05-11,1.2142857142857142
2017-05-12,1.3583333333333334
2017-05-13,2.4958333333333331
2017-05-14,2.3487499999999999
2017-05-15,2.5749999999999997
2017-05-16,1.9454166666666666
2017-05-17,1.86625
2017-05-18,2.0762499999999999
2017-05-19,1.8391666666666666
2017-05-20,1.7416666666666665
2017-05-21,1.6108333333333331
2017-05-22,1.3504166666666666
2017-05-23,1.1204166666666666
2017-05-24,1.3116666666666668
2017-05-25,1.5866666666666667
2017-05-26,1.3525
2017-05-27,1.0478260869565219
2017-05-28,1.2024999999999999
2017-05-29,1.8416666666666668
2017-06-01,1.0487500000000001
2017-06-02,1.8629166666666668
2017-06-03,1.8362499999999999
2017-06-04,2.5775000000000001
2017-06-05,2.4254166666666666
2017-06-06,2.1495652173913045
2017-06-07,1.4566666666666668
2017-06-08,1.3825000000000001
2017-06-09,1.4660869565217391
2017-06-10,1.2491666666666668
2017-06-11,1.5904347826086955
2017-06-12,2.2765217391304349
2017-06-13,1.7116666666666667
2017-06-14,1.9595833333333335
2017-06-15,1.8095833333333333
2017-06-16,1.5958333333333332
2017-06-17,2.3283333333333336
2017-06-18,2.3169565217391304
2017-06-19,1.7324999999999999
2017-06-20,2.2091666666666665
2017-06-21,2.7533333333333334
2017-06-22,1.8158333333333332
2017-06-23,1.4670833333333333
2017-06-24,1.1404166666666666
2017-06-25,0.9375
2017-06-26,0.80791666666666673
2017-06-27,1.0608695652173912
2017-06-28,1.6004166666666666
2017-06-29,1.8787500000000001
2017-06-30,2.1858333333333335
2017-07-01,2.6745833333333331
2017-07-02,2.1773913043478261
2017-07-03,1.2570833333333333
2017-07-04,1.2108333333333334
2017-07-05,0.95374999999999999
2017-07-06,1.1029166666666665
2017-07-07,1.3891666666666669
2017-07-08,1.6891666666666667
2017-07-09,1.5366666666666668
2017-07-10,1.8262499999999999
2017-07-11,1.7866666666666664
2017-07-12,1.5172727272727273
2017-07-13,1.4279166666666667
2017-07-14,1.3460869565217393
2017-07-15,1.4954166666666666
2017-07-16,2.0591666666666666
2017-07-17,2.1347826086956521
2017-07-18,1.7870833333333334
2017-07-19,1.8079166666666666
2017-07-20,1.99875
2017-07-21,2.0591666666666666
2017-07-22,1.7258333333333333
2017-07-23,1.4183333333333332
2017-07-24,1.3395833333333333
2017-07-25,1.2862500000000001
2017-07-26,1.1079166666666667
2017-07-27,1.3495833333333334
2017-07-28,2.1887500000000002
2017-07-29,1.9424999999999999
2017-07-30,1.1458333333333333
2017-07-31,0.97958333333333336
2017-08-01,1.0729166666666667
2017-08-02,1.0329166666666667
2017-08-03,1.0529166666666667
2017-08-04,0.95666666666666667
2017-08-05,0.90208333333333324
2017-08-06,0.79166666666666663
2017-08-07,0.84500000000000008
2017-08-08,0.87
2017-08-09,1.2433333333333334
2017-08-10,1.1729166666666666
2017-08-11,1.2816666666666665
2017-08-12,1.5820833333333333
2017-08-13,1.7479166666666668
2017-08-14,1.50125
2017-08-15,1.7504166666666665
2017-08-16,1.28
2017-08-17,1.3983333333333334
2017-08-18,1.2741666666666667
2017-08-19,1.5191304347826087
2017-08-20,1.5229166666666665
2017-08-21,1.2708333333333333
2017-08-22,0.94130434782608707
2017-08-23,0.79208333333333325
2017-08-24,1.6691666666666667
2017-08-25,2.0449999999999999
2017-08-26,1.56125
2017-08-27,1.0308333333333333
2017-08-28,1.0666666666666667
2017-08-29,1.5295833333333333
2017-08-30,1.8295833333333331
2017-08-31,1.6312499999999999
2017-09-01,1.1229166666666666
2017-09-02,1.0050000000000001
2017-09-03,0.93208333333333337
2017-09-04,0.92625000000000002
2017-09-05,0.91083333333333327
2017-09-06,1.0545833333333332
2017-09-07,1.165
2017-09-08,1.0645833333333334
2017-09-09,1.4620833333333332
2017-09-10,1.6083333333333334
2017-09-11,1.4424999999999999
2017-09-12,1.2295833333333333
2017-09-13,1.1229166666666666
2017-09-14,1.4783333333333333
2017-09-15,1.9154166666666665
2017-09-16,1.0900000000000001
2017-09-17,1.4758333333333333
2017-09-18,1.0629166666666665
2017-09-19,1.5291666666666668
2017-09-20,2.1675
2017-09-21,1.8795833333333334
2017-09-22,1.7516666666666667
2017-09-23,1.5137499999999999
2017-09-24,1.4570833333333333
2017-09-25,1.2504166666666665
2017-09-26,1.4066666666666665
2017-09-27,1.2095833333333335
2017-09-28,0.86916666666666664
2017-09-29,0.90083333333333337
2017-09-30,1.9841666666666666
2017-10-01,2.46875
2017-10-02,2.3329166666666667
2017-10-03,2.3316666666666666
