day,basis
2018-01-11,0.0037556330719294984
2018-01-12,-3.7117876915626624e-05
2018-01-13,-0.001604503870513696
2018-01-14,-0.0021365507506869719
2018-01-15,0.00050738814750150851
2018-01-16,0.0067431192660549755
2018-01-17,0.0010383308808339375
2018-01-18,0.0077750623291252818
2018-01-19,-0.003022227489721141
2018-01-20,-0.0056359639185810106
2018-01-21,-0.00013876843018212348
2018-01-22,0.0035641098322034548
2018-01-23,0.0013630664550456917
2018-01-24,0.0010052872293280224
2018-01-25,0.0025887517706506546
2018-01-26,0.0036973577419063819
2018-01-27,-0.0025237142111217414
2018-01-28,-0.0034133140290995012
2018-01-29,0.0012443338369922952
2018-01-30,-0.0025015848580368649
2018-01-31,0.00046669453870151756
2018-02-01,4.1194555380652531e-05
2018-02-02,0.00097711830118907272
2018-02-03,0.0037108856995031747
2018-02-04,0.00038974637163224912
2018-02-05,0.0027968340012016757
2018-02-06,0.003327173836338515
2018-02-07,-0.00034215028293205219
2018-02-08,0.062561504209906804
2018-02-09,0.0012644059364894655
2018-02-10,-0.00018514221969112565
2018-02-11,-0.00048115795373937509
2018-02-12,-0.00012355385825002507
2018-02-13,-0.00090164990222352248
2018-02-14,0.00074179972677224093
2018-02-15,0.0025709768612081074
2018-02-16,0.0011830731950259743
2018-02-17,0.0018524305791449702
2018-02-18,-2.889218687962547e-06
2018-02-19,6.2763382049801919e-05
2018-02-20,0.0005097763679817735
2018-02-21,0.0011880125699395006
2018-02-22,0.0014432720690160661
2018-02-23,0.0026019046415766134
2018-02-24,-0.0010119129280385941
2018-02-25,-0.00042752867570394759
2018-02-26,-0.002169701666020929
2018-02-27,0.0014816861323261321
2018-02-28,-0.00017043099675018158
2018-03-01,0.00051282051282064423
2018-03-02,-0.0017845819367696691
2018-03-03,-0.0012630315548546323
2018-03-04,0
2018-03-05,-0.00017461148943598293
2018-03-06,0.00044044313058022588
2018-03-07,-0.00067608476286584729
2018-03-08,0.0032421448632606875
2018-03-09,-0.00058523897258044855
2018-03-10,0.0001231440032289921
2018-03-11,-0.0008989287328881046
2018-03-12,-0.00069431211629400469
2018-03-13,-0.0016502732240437634
2018-03-14,0.0022276621787025164
2018-03-15,0.00096105074881869257
2018-03-16,-0.00056900726392261625
2018-03-17,0.0044985175339944394
2018-03-18,-0.0024407844209821672
2018-03-19,0.0017674418604651798
2018-03-20,-0.0019057281834526929
2018-03-21,0.00060776589758004818
2018-03-22,-0.0010317669582363687
2018-03-23,0.0011204727338522957
2018-03-24,-0.0013876441172547826
2018-03-25,-0.0022844931907936017
2018-03-26,0.00038971113430519289
2018-03-27,0.00030658674031580624
2018-03-28,-0.00093089957606340423
2018-03-29,0.020896625454504436
2018-03-30,0.00068272558086501789
2018-03-31,0.0010817587172564647
2018-04-01,5.724342104285185e-05
2018-04-02,-0.0003543083900227062
2018-04-03,0.0005658178498650912
2018-04-04,0.00019128617883779064
2018-04-05,-8.2708588105329106e-05
2018-04-06,0.0011982324934596278
2018-04-07,-0.00097160590504363764
2018-04-08,0.00091194072385292202
2018-04-09,-0.0014477967541046688
2018-04-10,-0.0015926591563288905
2018-04-11,0.00041847683062035124
2018-04-12,-0.00037864445285873405
2018-04-13,-0.00040749434141429397
2018-04-14,0.00011126376889136758
2018-04-15,-0.00059844404548170527
2018-04-16,-0.0013540121910694536
2018-04-17,0.00060621279337280676
2018-04-18,-0.00030588523186103611
2018-04-19,0.0011717806233391137
2018-04-20,0.00018290658892761158
2018-04-21,-0.0008872377965544187
2018-04-22,0.0011585270091567512
2018-04-23,0.001342062522875942
2018-04-24,0.00031289013813950994
2018-04-25,-0.00028072184974270442
2018-04-26,0.0010900064752861205
2018-04-27,0.0022377136063080894
2018-04-28,0.00049208386820720484
2018-04-29,-3.1850514916609285e-05
2018-04-30,0.0007884482063071907
2018-05-01,-0.0001300780027073678
2018-05-02,-0.0012478589594976386
2018-05-03,0.00090256410256395192
2018-05-04,7.3090460253721901e-05
2018-05-05,0.0015105433901054788
2018-05-06,0.00053732214792212574
2018-05-07,9.6102509343332088e-05
2018-05-08,-0.00082285176913121649
2018-05-09,0.0011600429645541865
2018-05-10,0.0034324942791761348
2018-05-11,0.0016904761904763532
2018-05-12,0.00027876408290139487
2018-05-13,-0.00040439139095638232
2018-05-14,0.00029549804117112721
2018-05-15,-0.00016544552115338451
2018-05-16,0.0011884753901560963
2018-05-17,0.00086302736070309471
2018-05-18,-0.00098424599596336204
2018-05-19,0.00038987112390986844
2018-05-20,0.00035416994058867779
2018-05-21,-0.00051782313834236593
2018-05-22,0.00021185617347652119
2018-05-23,-0.0014329607635348296
2018-05-24,-0.0003841579087023872
2018-05-25,0
2018-05-26,0.00080993078773272664
2018-05-27,0.0014457030190804243
2018-05-28,0.0010987463022962274
2018-05-29,0.0002693904137220926
2018-05-30,0.00037147706874773867
2018-05-31,0.00059986559804192652
2018-06-01,-0.00033373177272733034
2018-06-02,-3.9266861516784601e-06
2018-06-03,0.00044592741235049971
2018-06-04,0
2018-06-05,-0.0004590163934425906
2018-06-06,-0.00073640394628959882
2018-06-07,-0.00046547428969667681
2018-06-08,0.0012836295150615573
2018-06-09,0.00056996181122381806
2018-06-10,-0.00058980131530128599
2018-06-11,-0.0002328288707800219
2018-06-12,0.0016998468606432837
2018-06-13,0.00068650103769729576
2018-06-14,0.00044002543708687725
2018-06-15,-0.00010956502684345004
2018-06-16,-8.9451232113568757e-05
2018-06-17,-0.00071477190093660603
2018-06-18,-0.0011411613626002293
2018-06-19,-0.00046134150990695399
2018-06-20,-0.00050432521729615321
2018-06-21,-3.5720451744603032e-05
2018-06-22,0.00052936311000828518
2018-06-23,0.00016585419789993949
2018-06-24,0.00065667585143813767
2018-06-25,-0.00071976967370446232
2018-06-26,-0.00093562935899493826
2018-06-27,0.00054942098853394405
2018-06-28,-0.00057738495860926164
2018-06-29,0.000238789787541549
2018-06-30,0.00072456170276691267
2018-07-01,0.00053328634959970422
2018-07-02,-0.00073919661874233267
2018-07-03,0.00014430767624729057
2018-07-04,0.00021557678936323654
2018-07-05,0.0014396863321695097
2018-07-06,-0.0001482651464950191
2018-07-07,0.00012135599039808653
2018-07-08,-0.001013095752447124
2018-07-09,-0.00097866745120167575
2018-07-10,-0.00011275371571140003
2018-07-11,-5.8011279274072791e-05
2018-07-12,3.679664414613093e-05
2018-07-13,0.00058411120962520435
2018-07-14,-0.00023832411760094097
2018-07-15,-0.00053675344443027129
2018-07-16,-0.00020079275956186304
2018-07-17,-0.00060676958061833819
2018-07-18,-0.00044703938010526301
2018-07-19,0.0012978472344067349
2018-07-20,0.00032299697582161002
2018-07-21,-0.00083527284227935539
2018-07-22,0.00012305961359282414
2018-07-23,-0.000402797043392078
2018-07-24,-0.00026675431451284037
2018-07-25,-0.00079993737493333494
2018-07-26,0.0010984848484847376
2018-07-27,-8.5485011424024648e-06
2018-07-28,0.00044498263838232965
2018-07-29,0.00010960906101575851
