day,btc
2013-03-31,3083.0797907500005
2013-04-01,5224.4013129700024
2013-04-02,8376.5274781100215
2013-04-03,12996.245072180118
2013-04-04,6981.6683054400064
2013-04-05,5234.8822032500093
2013-04-06,2009.1286249399996
2013-04-07,3725.0676449599982
2013-04-08,10895.82741442002
2013-04-09,6073.37314608
2013-04-10,16070.642744270141
2013-04-11,16914.656315080098
2013-04-12,38693.955304319585
2013-04-13,23866.677045599972
2013-04-14,16437.219664500037
2013-04-15,16393.128563980034
2013-04-16,26092.543229600029
2013-04-17,20016.467386730001
2013-04-18,8362.1046550900101
2013-04-19,20883.25110548993
2013-04-20,6502.7192769700414
2013-04-21,11539.056190050027
2013-04-22,7053.3971166800029
2013-04-23,11566.577971560031
2013-04-24,25884.625254149956
2013-04-25,21589.721007850003
2013-04-26,13279.179467050049
2013-04-27,7773.997322830005
2013-04-28,7222.0900828800168
2013-04-29,9491.6920874100251
2013-04-30,10916.45401098006
2013-05-01,23869.062597740111
2013-05-02,29911.742035789932
2013-05-03,32551.051529309825
2013-05-04,15470.54031853008
2013-05-05,13363.780708440054
2013-05-06,12263.030821200064
2013-05-07,15053.73044354
2013-05-08,8804.3782394600294
2013-05-09,3991.5678668900005
2013-05-10,7579.6638368800232
2013-05-11,3841.9370868099954
2013-05-12,2745.7334077399978
2013-05-13,2590.8461600099949
2013-05-14,9787.1380317399944
2013-05-15,9324.2600794100435
2013-05-16,4796.4239812500036
2013-05-17,5107.8367595999989
2013-05-18,2168.448581220001
2013-05-19,1327.4523954500003
2013-05-20,881.05785762000107
2013-05-21,1897.5483926199995
2013-05-22,2360.3498401400007
2013-05-23,4024.6573301499957
2013-05-24,7965.536714460045
2013-05-25,2715.8056130399978
2013-05-26,2883.2301361299924
2013-05-27,3535.3153651699963
2013-05-28,2584.0171886299918
2013-05-29,3558.6165625200006
2013-05-30,4729.1026570700014
2013-05-31,2267.4787065399969
2013-06-01,815.11173931999929
2013-06-02,11892.971611849993
2013-06-03,4750.3516463400101
2013-06-04,5195.531711939987
2013-06-05,1435.8722807399988
2013-06-06,1260.7073753199975
2013-06-07,9638.2098093700042
2013-06-08,1943.2223178199815
2013-06-09,15769.872015019937
2013-06-10,9456.9665661499876
2013-06-11,3419.5082620499979
2013-06-12,4657.0738108799987
2013-06-13,5813.8174408500063
2013-06-14,5295.6789835999907
2013-06-15,2397.8488894100019
2013-06-16,1192.2101715700005
2013-06-17,1286.4402078700018
2013-06-18,6069.1041777399914
2013-06-19,2830.3465602399988
2013-06-20,5580.1564534700001
2013-06-21,5584.193995460012
2013-06-22,1390.4183921499989
2013-06-23,796.29810475999977
2013-06-24,2801.0470020900025
2013-06-25,3395.1643441600008
2013-06-26,1466.1279017399977
2013-06-27,1085.4747330400012
2013-06-28,7594.0322820800284
2013-06-29,1766.1863614599931
2013-06-30,525.54269882000028
2013-07-01,10021.30520817001
2013-07-02,3732.3284799799999
2013-07-03,8688.2434530000392
2013-07-04,7081.4483921600195
2013-07-05,13816.961176109991
2013-07-06,10426.965307850023
2013-07-07,4403.9688400499981
2013-07-08,8789.7677062700132
2013-07-09,7041.3253610099973
2013-07-10,10374.852418189985
2013-07-11,7510.9661262800191
2013-07-12,15077.541086630081
2013-07-13,4116.2279688499739
2013-07-14,2380.3514013499939
2013-07-15,5898.457136150043
2013-07-16,2092.3585305399984
2013-07-17,2046.7274674899968
2013-07-18,7708.7348326000565
2013-07-19,4794.1831617200114
2013-07-20,1301.9223731900004
2013-07-21,2113.5124119899997
2013-07-22,1354.6779300899971
2013-07-23,3368.9152339299881
2013-07-24,1618.3426672899991
2013-07-25,3345.3688632699873
2013-07-26,973.53390157000365
2013-07-27,1427.2840365199977
2013-07-28,3411.0675999399937
