day,basis
2017-08-17,-0.001183175109916168
2017-08-18,-0.0016186468112656671
2017-08-19,0.0042101652664989775
2017-08-20,-0.0086386428765458101
2017-08-21,-0.0034860557768924272
2017-08-22,0.012871287128712883
2017-08-23,0.007165757983087051
2017-08-24,-0.00092214800243750616
2017-08-25,0.0185297662988122
2017-08-26,0.0015861890884947272
2017-08-27,0.0069837424971170847
2017-08-28,-0.00038753593255957952
2017-08-29,0.0025111826100605583
2017-08-30,0.0058922448047697973
2017-08-31,0.0040318398946852518
2017-09-01,0.023388232666171627
2017-09-02,0.039768433009699899
2017-09-03,0.025940990179815104
2017-09-04,0.097104711824804735
2017-09-05,0.015124345294940778
2017-09-06,-0.00077709496360212071
2017-09-07,-0.014372464889451431
2017-09-08,0.015690669655365586
2017-09-09,0.017739697239369523
2017-09-10,0.029292775223527245
2017-09-11,0.00053463610290682695
2017-09-12,0.00019213587849331581
2017-09-13,-0.02265577269696728
2017-09-14,0.019247292271606931
2017-09-15,0.010816216216216201
2017-09-16,0.0031117511675797793
2017-09-17,0.0054000145946340172
2017-09-18,0.016106527617031796
2017-09-19,1.7902630152111243e-05
2017-09-20,-0.0071641025641026035
2017-09-21,0.0020720279003543229
2017-09-22,0.0064351603367196475
2017-09-23,0.0019391534391535181
2017-09-24,0.0024562707307611564
2017-09-25,-0.00024740164509340357
2017-09-26,0.00070575811042283831
2017-09-27,0.0016694490818029983
2017-09-28,0.003574080728230955
2017-09-29,-0.0042398357722369662
2017-09-30,-0.0090236176233468024
2017-10-01,0.0037296047943580213
2017-10-02,0.0029018264840183772
2017-10-03,-0.00046635730858468616
2017-10-04,0.0014850579410206066
2017-10-05,0.0064322539913288512
2017-10-06,-0.0013756008239872441
2017-10-07,0.00045218177707440077
2017-10-08,-0.0078685344827587045
2017-10-09,-0.0036348823363518967
2017-10-10,-0.0069118932231668762
2017-10-11,-0.0013357033079398617
2017-10-12,0.0018416206261511192
2017-10-13,-0.0044566529439040714
2017-10-14,-0.0086644099904769067
2017-10-15,-0.0028528946635633101
2017-10-16,-0.00088888580248003279
2017-10-17,-0.00017873100983023527
2017-10-18,0.011317003080517862
2017-10-19,0.003538063653477419
2017-10-20,-0.0034791955421038523
2017-10-21,-1.8257352318862274e-05
2017-10-22,0.0092487084077028658
2017-10-23,-0.0016802091978777023
2017-10-24,0.0088369061334336863
2017-10-25,0.008783846720293198
2017-10-26,0.0050906125624170517
2017-10-27,0.0019362678394059252
2017-10-28,0.0056594470980690925
2017-10-29,-0.0048573901374071582
2017-10-30,0.00059799036026464414
2017-10-31,-0.0027835370570942208
2017-11-01,0.0043988877669167703
2017-11-02,0.0028490109658432239
2017-11-03,0.0077258876970474066
2017-11-04,0.0075383065858920517
2017-11-05,0.0063975406432394966
2017-11-06,0.0013850335913749845
2017-11-07,0.008860368854083589
2017-11-08,0.022587977543475191
2017-11-09,0.010735890869902454
2017-11-10,0.010856034596694597
2017-11-11,0.016276891297907881
2017-11-12,0.012961557589618478
2017-11-13,0.010807316435688996
2017-11-14,0.0045642654969817453
2017-11-15,0.0074502145009847087
2017-11-16,-0.003302180685358258
2017-11-17,0.0020157964669011985
2017-11-18,0.0019415249280463343
2017-11-19,-0.00076884797213239153
2017-11-20,0.0053592303945446673
2017-11-21,-0.0012944130865040204
2017-11-22,0.0053717316278978355
2017-11-23,0.0013927698164213353
2017-11-24,0.0094630130253132716
