day,sum
2020-01-01,1.229000000000002e-05
2020-01-02,0.00025047000000000003
2020-01-03,0.00030000000000000003
2020-01-04,0.00030000000000000003
2020-01-05,0.00030000000000000003
2020-01-06,0.00030000000000000003
2020-01-07,0.00030000000000000003
2020-01-08,0.00030000000000000003
2020-01-09,0.00030000000000000003
2020-01-10,0.00030000000000000003
2020-01-11,0.00030000000000000003
2020-01-12,0.00030000000000000003
2020-01-13,0.00030000000000000003
2020-01-14,0.00030000000000000003
2020-01-15,0.00063631000000000007
2020-01-16,0.00097810999999999992
2020-01-17,0.00049098999999999996
2020-01-18,0.00031013999999999998
2020-01-19,0.00088365000000000004
2020-01-20,0.00140146
2020-01-21,0.00057087000000000001
2020-01-22,0.00035349999999999997
2020-01-23,0.00041994000000000005
2020-01-24,0.00060784999999999995
2020-01-25,0.00047793
2020-01-26,0.00068345999999999999
2020-01-27,0.00030000000000000003
2020-01-28,0.0015116700000000001
2020-01-29,0.00283957
2020-01-30,0.00158891
2020-01-31,0.00308347
2020-02-01,0.0019564600000000001
2020-02-02,0.00061328000000000001
2020-02-03,0.00030000000000000003
2020-02-04,0.00090678000000000004
2020-02-05,0.00115515
2020-02-06,0.00243217
2020-02-07,0.00093406000000000001
2020-02-08,0.00083781999999999997
2020-02-09,0.0029651399999999998
2020-02-10,0.0061982299999999999
2020-02-11,0.0037653399999999998
2020-02-12,0.0080064400000000001
2020-02-13,0.00439932
2020-02-14,0.0031325299999999997
2020-02-15,0.0030031099999999998
2020-02-16,0.00296663
2020-02-17,0.0020593399999999998
2020-02-18,0.00060245999999999997
2020-02-19,0.0023570100000000001
2020-02-20,0.00083340999999999992
2020-02-21,0.0018084899999999998
2020-02-22,0.0015391200000000002
2020-02-23,0.0016878500000000001
2020-02-24,0.00112224
2020-02-25,0.00124051
2020-02-26,0.0019842800000000002
2020-02-27,0.00046168000000000001
2020-02-28,0.00068276000000000003
2020-02-29,0.0014422
2020-03-01,0.00066829999999999993
2020-03-02,0.00040384999999999998
2020-03-03,0.00051402999999999996
2020-03-04,0.00093983999999999995
2020-03-05,0.00104933
2020-03-06,0.00057379999999999996
2020-03-07,0.00033739000000000002
2020-03-08,0.0011610000000000001
2020-03-09,0.00037619999999999998
2020-03-10,0.00060427000000000007
2020-03-11,0.00063551000000000005
2020-03-12,0.00100917
2020-03-13,-0.0029976900000000003
2020-03-14,0.00030000000000000003
2020-03-15,0.00030000000000000003
2020-03-16,-2.9319999999999997e-05
2020-03-17,0.00030000000000000003
2020-03-18,0.00030000000000000003
2020-03-19,0.00030000000000000003
2020-03-20,0.00030000000000000003
2020-03-21,0.00030000000000000003
2020-03-22,0.00030000000000000003
2020-03-23,0.00030000000000000003
2020-03-24,0.00030000000000000003
2020-03-25,0.00030000000000000003
2020-03-26,0.00030000000000000003
2020-03-27,0.00030000000000000003
2020-03-28,0.00017285
2020-03-29,0.00030000000000000003
2020-03-30,0.00010090000000000001
2020-03-31,0.00030000000000000003
2020-04-01,0.00012632000000000002
2020-04-02,0.0001483
2020-04-03,0.00030000000000000003
2020-04-04,0.00024881000000000003
2020-04-05,0.00023554000000000001
2020-04-06,0.00022567
2020-04-07,-0.00014175
2020-04-08,0.00030000000000000003
2020-04-09,0.00030000000000000003
2020-04-10,0.00030000000000000003
2020-04-11,0.00018577000000000001
2020-04-12,0.00021985
2020-04-13,0.00030000000000000003
2020-04-14,0.00030000000000000003
2020-04-15,0.00030000000000000003
2020-04-16,0.00017474
2020-04-17,0.00030000000000000003
2020-04-18,0.00029454000000000004
2020-04-19,0.00030000000000000003
2020-04-20,0.00030000000000000003
2020-04-21,0.00030000000000000003
2020-04-22,0.00030000000000000003
2020-04-23,0.00030000000000000003
2020-04-24,0.00030000000000000003
2020-04-25,0.00030000000000000003
2020-04-26,0.00030000000000000003
2020-04-27,0.00030000000000000003
2020-04-28,0.00030000000000000003
2020-04-29,0.00030000000000000003
2020-04-30,0.00060543000000000001
2020-05-01,0.00063171000000000006
2020-05-02,0.0011457799999999999
2020-05-03,0.00084526999999999996
2020-05-04,0.00048611999999999999
2020-05-05,0.00064747000000000003
2020-05-06,0.00091296999999999993
2020-05-07,0.00030111
2020-05-08,0.0011768099999999999
2020-05-09,0.00079580999999999999
2020-05-10,0.00035215000000000002
2020-05-11,0.00030000000000000003
2020-05-12,0.00030000000000000003
2020-05-13,0.00030000000000000003
2020-05-14,0.00030000000000000003
2020-05-15,0.00010529
2020-05-16,0.00014530000000000001
2020-05-17,0.00015943000000000001
2020-05-18,0.00030000000000000003
2020-05-19,0.00030000000000000003
2020-05-20,0.00030000000000000003
2020-05-21,0.00030000000000000003
2020-05-22,0.00023518000000000001
2020-05-23,0.00030000000000000003
2020-05-24,0.00030000000000000003
2020-05-25,0.00030000000000000003
2020-05-26,0.00030000000000000003
2020-05-27,0.00030000000000000003
2020-05-28,0.00030000000000000003
2020-05-29,0.00030000000000000003
2020-05-30,0.00030000000000000003
2020-05-31,0.00030000000000000003
2020-06-01,0.00030000000000000003
2020-06-02,0.00062985999999999999
2020-06-03,0.00030000000000000003
2020-06-04,0.00030000000000000003
2020-06-05,0.00030000000000000003
