day,sources
2017-11-15,273477
2017-11-16,217635
2017-11-17,234953
2017-11-18,207761
2017-11-19,167183
2017-11-20,185559
2017-11-21,309578
2017-11-22,451049
2017-11-23,377116
2017-11-24,330256
2017-11-25,291211
2017-11-26,275327
2017-11-27,303034
2017-11-28,317620
2017-11-29,696899
2017-11-30,650054
2017-12-01,612585
2017-12-02,495726
2017-12-03,421451
2017-12-04,400875
2017-12-05,519209
2017-12-06,408454
2017-12-07,362392
2017-12-08,287073
2017-12-09,273520
2017-12-10,249794
2017-12-11,272970
2017-12-12,270362
2017-12-13,249427
2017-12-14,193927
2017-12-15,178873
2017-12-16,129149
2017-12-17,172491
2017-12-18,156598
2017-12-19,122362
2017-12-20,154961
2017-12-21,138429
2017-12-22,150136
2017-12-23,130263
2017-12-24,125658
2017-12-25,97700
2017-12-26,152664
2017-12-27,145535
2017-12-28,124832
2017-12-29,109412
2017-12-30,188174
2017-12-31,289066
2018-01-01,292449
2018-01-02,319849
2018-01-03,316774
2018-01-04,324077
2018-01-05,309363
2018-01-06,293105
2018-01-07,282285
2018-01-08,305683
2018-01-09,53924
2018-01-10,278941
2018-01-11,273459
2018-01-12,231282
2018-01-14,238011
2018-01-15,190435
2018-01-16,251530
2018-01-17,348065
2018-01-18,334319
2018-01-19,318923
2018-01-20,311746
2018-01-21,310675
2018-01-22,325987
2018-01-23,336389
2018-01-24,338677
2018-01-25,329116
2018-01-26,357460
2018-01-27,335045
2018-01-28,322881
2018-01-29,342616
2018-01-30,352097
2018-01-31,340381
2018-02-01,337985
2018-02-02,325897
2018-02-03,235933
2018-02-20,297319
2018-02-21,291105
2018-02-22,291604
2018-02-23,285714
2018-02-24,255957
2018-02-25,269539
2018-02-26,273255
2018-02-27,286706
2018-02-28,287520
2018-03-01,298480
2018-03-02,296249
2018-03-03,296948
2018-03-04,276136
2018-03-05,307815
2018-03-06,309742
2018-03-07,324629
2018-03-08,322356
2018-03-09,333517
2018-03-10,283819
2018-03-11,265741
2018-03-12,91569
2018-04-22,365186
2018-04-23,496665
2018-04-24,418974
2018-04-25,468382
2018-04-26,390819
2018-04-27,342230
2018-04-28,324574
2018-04-29,300076
2018-04-30,323098
2018-05-01,338429
2018-05-02,289834
2018-05-03,316496
2018-05-04,305695
2018-05-05,288166
2018-05-06,276258
2018-05-07,308768
2018-05-08,379929
2018-05-09,412396
2018-05-10,362839
2018-05-11,373139
2018-05-12,348061
2018-05-13,303877
2018-05-14,316797
2018-05-15,303573
2018-05-16,315946
2018-05-17,294483
2018-05-18,281623
2018-05-19,267990
2018-05-20,253626
2018-05-21,272301
2018-05-22,266269
2018-05-23,256219
2018-05-24,255523
2018-05-25,271878
2018-05-26,279520
2018-05-27,278211
2018-05-28,282569
2018-05-29,271804
2018-05-30,280025
2018-05-31,274557
2018-06-01,298533
2018-06-02,294099
2018-06-03,291570
2018-06-04,317954
2018-06-05,298747
2018-06-06,299645
2018-06-07,299755
2018-06-08,297607
2018-06-09,280707
2018-06-10,235792
2018-06-11,276212
2018-06-12,269748
2018-06-13,281376
2018-06-14,258377
2018-06-15,243449
2018-06-16,258154
2018-06-17,271316
2018-06-18,305513
2018-06-19,329971
2018-06-20,352481
2018-06-21,357013
2018-06-22,349938
2018-06-23,323818
2018-06-24,314766
2018-06-25,349059
2018-06-26,318567
2018-06-27,338155
2018-06-28,332698
2018-06-29,314195
2018-06-30,320384
2018-07-01,288663
2018-07-02,307320
2018-07-03,314758
2018-07-04,300592
2018-07-05,310522
2018-07-06,320135
2018-07-07,277446
2018-07-08,339419
2018-07-09,365005
2018-07-10,358606
2018-07-11,308377
2018-07-12,270522
2018-07-13,285211
2018-07-14,258105
2018-07-15,275177
2018-07-16,306540
2018-07-17,295250
2018-07-18,318363
2018-07-19,340202
2018-07-20,324461
2018-07-21,332575
2018-07-22,275596
2018-07-23,323326
2018-07-24,343437
2018-07-25,365210
2018-07-26,386111
2018-07-27,354590
2018-07-28,310028
2018-07-29,320596
2018-07-30,356631
2018-07-31,337080
2018-08-01,326815
2018-08-02,321535
2018-08-03,332785
2018-08-04,315940
2018-08-05,331567
2018-08-06,329447
2018-08-07,351622
2018-08-08,340785
2018-08-09,390835
2018-08-10,427518
2018-08-11,448205
2018-08-12,406377
2018-08-13,416687
2018-08-14,428582
2018-08-15,459910
2018-08-16,376396
2018-08-17,342268
2018-08-18,301382
2018-08-19,292955
2018-08-20,326129
2018-08-21,315402
2018-08-22,309058
2018-08-23,322757
2018-08-24,316974
2018-08-25,284649
2018-08-26,299330
2018-08-27,352263
2018-08-28,316617
2018-08-29,196659
2018-08-30,51680
2018-08-31,297506
2018-09-01,352549
2018-09-02,299174
2018-09-03,301788
2018-09-04,328007
2018-09-05,290445
2018-09-06,288169
2018-09-07,304820
2018-09-08,270837
2018-09-09,244801
2018-09-10,310882
2018-09-11,283910
2018-09-12,304049
2018-09-13,312840
2018-09-14,310637
2018-09-15,290555
2018-09-16,271270
2018-09-17,296357
2018-09-18,294987
2018-09-19,294774
2018-09-20,315175
2018-09-21,322269
2018-09-22,311362
2018-09-23,284253
2018-09-24,298402
2018-09-25,298655
2018-09-26,336353
2018-09-27,311208
2018-09-28,300807
2018-09-29,295645
2018-09-30,265382
2018-10-01,309460
2018-10-02,288301
2018-10-03,309565
2018-10-04,292500
2018-10-05,278265
2018-10-06,278299
2018-10-07,247460
2018-10-08,260081
2018-10-09,269132
2018-10-10,259691
2018-10-11,241323
2018-10-12,276710
2018-10-13,252458
2018-10-14,239327
2018-10-15,231697
2018-10-16,266629
2018-10-17,245092
2018-10-18,219787
2018-10-19,212523
2018-10-20,213611
2018-10-21,205082
2018-10-22,216018
2018-10-23,283852
2018-10-24,243548
2018-10-25,238354
2018-10-26,255758
2018-10-27,235737
2018-10-28,238523
2018-10-29,261123
2018-10-30,257065
2018-10-31,252268
2018-11-01,298734
2018-11-02,289986
2018-11-03,286989
2018-11-04,273657
2018-11-05,321986
2018-11-06,318901
2018-11-07,292249
2018-11-08,298270
2018-11-09,276460
2018-11-10,286995
2018-11-11,260082
2018-11-12,293626
2018-11-13,267753
2018-11-14,281856
2018-11-15,303633
2018-11-16,274621
2018-11-17,281142
2018-11-18,252752
2018-11-19,272276
2018-11-20,273775
2018-11-21,280174
2018-11-22,254998
2018-11-23,234456
2018-11-24,225014
2018-11-25,213935
2018-11-26,239318
2018-11-27,216502
2018-11-28,223891
2018-11-29,212032
2018-11-30,205073
2018-12-01,190638
2018-12-02,207935
2018-12-03,216181
2018-12-04,218600
2018-12-05,247605
2018-12-06,249194
2018-12-07,282180
2018-12-08,282558
2018-12-09,232489
2018-12-10,273664
2018-12-11,254420
2018-12-12,260391
2018-12-13,239711
2018-12-14,236167
2018-12-15,225239
2018-12-16,224067
2018-12-17,244997
2018-12-18,246105
2018-12-19,251263
2018-12-20,248026
2018-12-21,238256
2018-12-22,219959
2018-12-23,212086
2018-12-24,223639
2018-12-25,229080
2018-12-26,224321
2018-12-27,215006
2018-12-28,224715
2018-12-29,207938
2018-12-30,203913
2018-12-31,203901
