day,points
2017-11-29,1422
2017-11-30,1713
2017-12-01,1190
2017-12-02,1697
2017-12-03,527
2017-12-04,1058
2017-12-05,2126
2017-12-06,2098
2017-12-07,2038
2017-12-08,1822
2017-12-09,760
2017-12-10,1260
2017-12-11,757
2017-12-12,1556
2017-12-13,2208
2017-12-14,1620
2017-12-15,1966
2017-12-16,1537
2017-12-17,380
2017-12-18,729
2017-12-19,590
2017-12-20,746
2017-12-21,735
2017-12-22,554
2017-12-23,290
2017-12-24,328
2017-12-25,102
2017-12-26,721
2017-12-27,264
2017-12-28,779
2017-12-29,440
2017-12-30,655
2017-12-31,568
2018-01-01,422
2018-01-02,558
2018-01-03,696
2018-01-04,1445
2018-01-05,2508
2018-01-06,1574
2018-01-07,930
2018-01-08,1027
2018-01-09,1059
2018-01-10,618
2018-01-11,571
2018-01-12,1106
2018-01-13,782
2018-01-14,1073
2018-01-15,1040
2018-01-16,1323
2018-01-17,1333
2018-01-18,4048
2018-01-19,2724
2018-01-20,2831
2018-01-21,1770
2018-01-22,1805
2018-01-23,3167
2018-01-24,4557
2018-01-25,2727
2018-01-26,1247
2018-01-27,804
2018-01-28,481
2018-01-29,1583
2018-01-30,2846
2018-01-31,5371
2018-02-01,1349
2018-02-02,2102
2018-02-03,949
2018-02-04,912
2018-02-05,1640
2018-02-06,1663
2018-02-07,842
2018-02-08,2367
2018-02-09,1838
2018-02-10,1399
2018-02-11,686
2018-02-12,1624
2018-02-13,1862
2018-02-14,1999
2018-02-15,3115
2018-02-16,4135
2018-02-17,2255
2018-02-18,1504
2018-02-19,3371
2018-02-20,1647
2018-02-21,3798
2018-02-22,3951
2018-02-23,2878
2018-02-24,2990
2018-02-25,1534
2018-02-26,2950
2018-02-27,2361
2018-02-28,1280
2018-03-01,3299
2018-03-02,8028
2018-03-03,7694
2018-03-04,5641
2018-03-05,4867
2018-03-06,5363
2018-03-07,8878
2018-03-08,7909
2018-03-09,8647
2018-03-10,4893
2018-03-11,2559
2018-03-12,3352
2018-03-13,7701
2018-03-14,12779
2018-03-15,13411
2018-03-16,5944
2018-03-17,3672
2018-03-18,2410
2018-03-19,2122
2018-03-20,3756
2018-03-21,8971
2018-03-22,14520
2018-03-23,9251
2018-03-24,9706
2018-03-25,4595
2018-03-26,3603
2018-03-27,2339
2018-03-28,6489
2018-03-29,3675
2018-03-30,8762
2018-03-31,3236
2018-04-01,1769
2018-04-02,4582
2018-04-03,4924
2018-04-04,6886
2018-04-05,9447
2018-04-06,3176
2018-04-07,7483
2018-04-08,1432
2018-04-09,3222
2018-04-10,11796
2018-04-11,5984
2018-04-12,24223
2018-04-13,15546
2018-04-14,7381
2018-04-15,3171
2018-04-16,11030
2018-04-17,14467
2018-04-18,10768
2018-04-19,10537
2018-04-20,6373
2018-04-21,2882
2018-04-22,4704
2018-04-23,7825
2018-04-24,7334
2018-04-25,5980
2018-04-26,5554
2018-04-27,9614
2018-04-28,11176
2018-04-29,7096
2018-04-30,6542
2018-05-02,7452
2018-05-03,5268
2018-05-04,6600
2018-05-05,5234
2018-05-06,5569
2018-05-07,6884
2018-05-08,4735
2018-05-09,9057
2018-05-10,6691
2018-05-11,5308
2018-05-12,4444
2018-05-13,3740
2018-05-14,4145
2018-05-15,5038
2018-05-16,4259
2018-05-17,4298
2018-05-18,3912
2018-05-19,3981
2018-05-20,4223
2018-05-21,4188
2018-05-22,4958
