day,usd
1997-01-07,3.8199999999999998
1997-01-08,3.7999999999999998
1997-01-09,3.6099999999999999
1997-01-10,3.9199999999999999
1997-01-13,4
1997-01-14,4.0099999999999998
1997-01-15,4.3399999999999999
1997-01-16,4.71
1997-01-17,3.9100000000000001
1997-01-20,3.2599999999999998
1997-01-21,2.9900000000000002
1997-01-23,2.96
1997-01-24,2.6200000000000001
1997-01-27,2.98
1997-01-28,3.0499999999999998
1997-01-29,2.9100000000000001
1997-02-03,2.4900000000000002
1997-02-04,2.5899999999999999
1997-02-05,2.6499999999999999
1997-02-06,2.5099999999999998
1997-02-07,2.3900000000000001
1997-02-10,2.4199999999999999
1997-02-11,2.3399999999999999
1997-02-12,2.4199999999999999
1997-02-14,2.1200000000000001
1997-02-18,1.8400000000000001
1997-02-21,1.9199999999999999
1997-02-24,1.9199999999999999
1997-02-25,1.77
1997-02-26,1.8100000000000001
1997-02-27,1.8
1997-03-04,1.8700000000000001
1997-03-05,1.9199999999999999
1997-03-06,1.8200000000000001
1997-03-07,1.8899999999999999
1997-03-10,1.95
1997-03-12,1.96
1997-03-13,1.98
1997-03-14,1.97
1997-03-17,2.0099999999999998
1997-03-18,1.9099999999999999
1997-03-19,1.8799999999999999
1997-03-20,1.8799999999999999
1997-03-21,1.8700000000000001
1997-03-24,1.8
1997-03-25,1.8500000000000001
1997-03-26,1.8500000000000001
1997-03-31,1.8400000000000001
1997-04-01,1.95
1997-04-02,1.8500000000000001
1997-04-03,1.8700000000000001
1997-04-04,1.9099999999999999
1997-04-07,1.99
1997-04-08,2.0099999999999998
1997-04-09,1.96
1997-04-10,1.97
1997-04-11,1.98
1997-04-14,2
1997-04-15,2
1997-04-16,2.02
1997-04-17,2.0800000000000001
1997-04-18,2.1000000000000001
1997-04-21,2.0899999999999999
1997-04-22,2.1000000000000001
1997-04-23,2.2200000000000002
1997-04-24,2.1099999999999999
1997-04-25,2.1600000000000001
1997-04-28,2.1000000000000001
1997-04-29,2.0899999999999999
1997-04-30,2.1600000000000001
1997-05-01,2.1899999999999999
1997-05-05,2.23
1997-05-06,2.25
1997-05-08,2.3300000000000001
1997-05-09,2.2999999999999998
1997-05-12,2.27
1997-05-13,2.1800000000000002
1997-05-14,2.2200000000000002
1997-05-15,2.25
1997-05-16,2.1899999999999999
1997-05-19,2.25
1997-05-20,2.2200000000000002
1997-05-21,2.21
1997-05-22,2.2200000000000002
1997-05-23,2.2000000000000002
1997-05-27,2.29
1997-05-28,2.3399999999999999
1997-05-29,2.29
1997-05-30,2.23
1997-06-02,2.2000000000000002
1997-06-03,2.1099999999999999
1997-06-04,2.1899999999999999
1997-06-06,2.1899999999999999
1997-06-13,2.1499999999999999
1997-06-16,2.2000000000000002
1997-06-17,2.2000000000000002
1997-06-18,2.2200000000000002
1997-06-20,2.25
1997-06-25,2.3199999999999998
1997-06-26,2.23
1997-07-02,2.1400000000000001
1997-07-09,2.1600000000000001
1997-07-10,2.1499999999999999
1997-07-11,2.1600000000000001
1997-07-16,2.2400000000000002
1997-07-21,2.1699999999999999
1997-07-22,2.1800000000000002
1997-07-25,2.2200000000000002
1997-07-28,2.1899999999999999
1997-07-29,2.23
1997-08-04,2.2599999999999998
1997-08-05,2.3300000000000001
1997-08-08,2.3799999999999999
1997-08-12,2.5600000000000001
1997-08-19,2.6099999999999999
1997-08-29,2.6899999999999999
1997-09-05,2.6699999999999999
1997-09-11,2.7799999999999998
1997-09-19,2.9399999999999999
1997-09-22,2.98
1997-09-23,3.0899999999999999
1997-09-24,3.0299999999999998
1997-09-29,3.0899999999999999
1997-10-07,2.8100000000000001
1997-10-13,2.8700000000000001
1997-10-16,2.9399999999999999
1997-10-17,2.9700000000000002
1997-10-20,3.0499999999999998
1997-10-21,3.1299999999999999
1997-10-30,3.3399999999999999
1997-11-03,3.23
1997-11-21,2.5899999999999999
1997-11-24,2.6299999999999999
1997-12-03,2.5299999999999998
1997-12-05,2.4199999999999999
1997-12-08,2.2999999999999998
1997-12-09,2.3500000000000001
1997-12-12,2.2999999999999998
1997-12-17,2.3799999999999999
1997-12-18,2.3700000000000001
1997-12-26,2.1800000000000002
1997-12-29,2.3300000000000001
1997-12-31,2.27
1998-01-06,2.1600000000000001
1998-01-09,2.0899999999999999
1998-01-15,2.0699999999999998
1998-01-16,2.1099999999999999
1998-01-27,2.0600000000000001
1998-01-28,2.0899999999999999
1998-01-29,2.0699999999999998
1998-01-30,2.0899999999999999
1998-02-05,2.3100000000000001
1998-02-12,2.2000000000000002
1998-02-19,2.2200000000000002
1998-02-20,2.2000000000000002
1998-02-23,2.2000000000000002
1998-02-25,2.21
1998-02-26,2.2799999999999998
1998-03-03,2.2400000000000002
1998-03-05,2.1200000000000001
1998-03-06,2.1000000000000001
1998-03-10,2.25
1998-03-30,2.3199999999999998
1998-04-01,2.4500000000000002
1998-04-02,2.4300000000000002
1998-04-09,2.6099999999999999
1998-04-13,2.52
1998-04-28,2.27
1998-05-01,2.1099999999999999
1998-05-05,2.1899999999999999
1998-05-29,2.1000000000000001
1998-06-03,2.1299999999999999
1998-06-04,2.04
1998-06-08,2
1998-06-16,2.1000000000000001
1998-06-23,2.3500000000000001
1998-06-25,2.3900000000000001
1998-07-01,2.46
1998-07-08,2.3900000000000001
1998-07-23,2
1998-07-29,1.99
1998-07-30,1.95
1998-08-05,1.9099999999999999
1998-08-07,1.8200000000000001
1998-08-13,1.8300000000000001
1998-08-19,1.96
1998-08-27,1.76
1998-08-31,1.6100000000000001
1998-09-04,1.71
1998-09-08,1.8100000000000001
1998-09-10,1.8799999999999999
1998-09-14,1.8600000000000001
1998-09-15,1.9399999999999999
1998-09-16,2.1499999999999999
1998-09-18,2.27
1998-09-21,2.1800000000000002
1998-09-23,2.1899999999999999
1998-09-25,2.3799999999999999
1998-09-29,2.0600000000000001
1998-09-30,2.2200000000000002
1998-10-05,2.0899999999999999
1998-10-07,2.0499999999999998
1998-10-15,1.75
1998-10-21,2.04
1998-10-28,1.7
1998-10-29,2
1998-10-30,2
1998-11-03,2.1000000000000001
1998-11-09,2.2799999999999998
1998-11-10,2.2999999999999998
1998-11-12,2.21
1998-11-13,2.21
1998-11-18,2.1000000000000001
1998-11-19,2.1000000000000001
1998-11-23,2.02
1998-11-24,2.0800000000000001
1998-11-25,2.1299999999999999
1998-12-02,1.3999999999999999
1998-12-10,1.5900000000000001
1998-12-14,1.8
1998-12-31,1.95
1999-01-04,2.1000000000000001
1999-01-08,1.8999999999999999
1999-01-25,1.76
1999-01-27,1.75
1999-02-03,1.8
1999-02-04,1.79
1999-02-10,1.8
1999-02-12,1.8200000000000001
1999-02-17,1.79
1999-02-18,1.8
1999-02-25,1.6399999999999999
1999-03-11,1.8700000000000001
1999-03-12,1.8100000000000001
1999-03-19,1.73
1999-03-23,1.8
1999-03-25,1.8
1999-03-29,1.8
1999-03-31,2.02
1999-04-08,2.0699999999999998
1999-04-09,2.1000000000000001
1999-04-19,2.1000000000000001
1999-04-22,2.2400000000000002
1999-05-12,2.1899999999999999
1999-05-14,2.2799999999999998
1999-05-17,2.3100000000000001
1999-05-18,2.2999999999999998
1999-05-27,2.27
1999-06-10,2.3700000000000001
1999-06-11,2.2999999999999998
1999-06-14,2.29
1999-06-16,2.2799999999999998
1999-06-18,2.2400000000000002
1999-06-23,2.25
1999-06-29,2.3300000000000001
1999-07-02,2.2599999999999998
1999-07-07,2.2000000000000002
1999-07-09,2.1699999999999999
1999-07-19,2.2000000000000002
1999-07-20,2.2400000000000002
1999-07-26,2.5499999999999998
1999-07-27,2.5499999999999998
1999-07-30,2.5499999999999998
1999-08-03,2.6099999999999999
1999-08-05,2.6899999999999999
1999-08-06,2.6899999999999999
1999-08-09,2.73
1999-08-17,2.7000000000000002
1999-08-20,2.9700000000000002
1999-08-23,2.9500000000000002
1999-08-25,3.1000000000000001
1999-08-30,2.8500000000000001
1999-08-31,2.8399999999999999
1999-09-03,2.4700000000000002
1999-09-13,2.7999999999999998
1999-09-21,2.3300000000000001
1999-09-22,2.2999999999999998
1999-09-27,2.5099999999999998
1999-09-29,2.5699999999999998
1999-10-04,2.4900000000000002
1999-10-11,2.5299999999999998
1999-10-14,2.7000000000000002
1999-10-20,2.8999999999999999
1999-10-22,3
1999-11-01,2.73
1999-11-02,2.8100000000000001
1999-11-08,2.5899999999999999
1999-11-09,2.4399999999999999
1999-11-12,2.1600000000000001
1999-11-15,2.3300000000000001
1999-11-19,2.1600000000000001
1999-12-09,2.2000000000000002
1999-12-10,2.27
1999-12-14,2.4900000000000002
1999-12-30,2.2999999999999998
2000-01-10,2.2000000000000002
2000-01-13,2.29
2000-01-14,2.2799999999999998
2000-01-19,2.3999999999999999
2000-01-27,2.7599999999999998
2000-02-08,2.6000000000000001
2000-02-11,2.6499999999999999
2000-02-17,2.6600000000000001
2000-02-23,2.5
2000-02-25,2.5099999999999998
2000-02-28,2.6000000000000001
2000-03-02,2.7999999999999998
2000-03-03,2.7200000000000002
2000-03-07,2.7799999999999998
2000-03-14,2.8300000000000001
2000-03-28,2.9399999999999999
2000-04-06,2.98
2000-04-07,2.9900000000000002
2000-04-10,2.9700000000000002
2000-04-11,2.98
2000-04-12,3.0499999999999998
