day,close
2006-01-03,31.34
2006-01-04,31.120000000000001
2006-01-05,30.920000000000002
2006-01-06,30.239999999999998
2006-01-09,30.149999999999999
2006-01-10,29.899999999999999
2006-01-11,30.23
2006-01-12,30.57
2006-01-13,31.149999999999999
2006-01-17,32.280000000000001
2006-01-18,32.369999999999997
2006-01-19,32.119999999999997
2006-01-20,35.990000000000002
2006-01-23,36.490000000000002
2006-01-24,34.289999999999999
2006-01-25,33.68
2006-01-26,33.009999999999998
2006-01-27,30.829999999999998
2006-01-30,31.670000000000002
2006-01-31,32.479999999999997
2006-02-01,30.969999999999999
2006-02-02,33.009999999999998
2006-02-03,31.620000000000001
2006-02-06,30.34
2006-02-07,32.770000000000003
2006-02-08,31.219999999999999
2006-02-09,32.329999999999998
2006-02-10,31.850000000000001
2006-02-13,32.799999999999997
2006-02-14,30.879999999999999
2006-02-15,30.199999999999999
2006-02-16,27.899999999999999
2006-02-17,30.010000000000002
2006-02-21,31.379999999999999
2006-02-22,30.02
2006-02-23,30.149999999999999
2006-02-24,30.190000000000001
2006-02-27,30.710000000000001
2006-02-28,33.759999999999998
2006-03-01,31.120000000000001
2006-03-02,30.93
2006-03-03,31.68
2006-03-06,34.219999999999999
2006-03-07,35.409999999999997
2006-03-08,35.100000000000001
2006-03-09,36.990000000000002
2006-03-10,35.130000000000003
2006-03-13,33.399999999999999
2006-03-14,32.270000000000003
2006-03-15,32.600000000000001
2006-03-16,32.890000000000001
2006-03-17,34.520000000000003
2006-03-20,37.100000000000001
2006-03-21,35.32
2006-03-22,36.009999999999998
2006-03-23,35.859999999999999
2006-03-24,35.520000000000003
2006-03-27,35.700000000000003
2006-03-28,33.909999999999997
2006-03-29,31.5
2006-03-30,33.530000000000001
2006-03-31,33.859999999999999
2006-04-03,31.91
2006-04-04,30.34
2006-04-05,30.640000000000001
2006-04-06,29.379999999999999
2006-04-07,31.890000000000001
2006-04-10,31.699999999999999
2006-04-11,34.799999999999997
2006-04-12,34.649999999999999
2006-04-13,34.280000000000001
2006-04-17,33.539999999999999
2006-04-18,29.77
2006-04-19,28.84
2006-04-20,28.920000000000002
2006-04-21,29.539999999999999
2006-04-24,28.559999999999999
2006-04-25,29.300000000000001
2006-04-26,31.300000000000001
2006-04-27,30.359999999999999
2006-04-28,30.030000000000001
2006-05-01,31.870000000000001
2006-05-02,30.43
2006-05-03,30.300000000000001
2006-05-04,29.629999999999999
2006-05-05,28.719999999999999
2006-05-08,30.59
2006-05-09,29.75
2006-05-10,29.649999999999999
2006-05-11,30.93
2006-05-12,34.719999999999999
2006-05-15,33.130000000000003
2006-05-16,32.780000000000001
2006-05-17,40.579999999999998
2006-05-19,36.689999999999998
2006-05-22,38.020000000000003
2006-05-23,41.399999999999999
2006-05-24,37.469999999999999
2006-05-25,35.359999999999999
